Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	32	32
OG0000001	22	22
OG0000002	22	22
OG0000003	13	12
OG0000004	19	19
OG0000005	10	9
OG0000006	14	14
OG0000007	13	13
OG0000008	13	13
OG0000009	14	14
OG0000010	14	14
OG0000011	14	14
OG0000012	14	14
OG0000013	8	5
OG0000014	12	12
OG0000015	7	7
OG0000016	8	8
OG0000017	10	10
OG0000018	10	10
OG0000019	10	10
OG0000020	12	12
OG0000021	12	12
OG0000022	12	12
OG0000023	11	11
OG0000024	6	6
OG0000025	7	6
OG0000026	8	8
OG0000027	9	9
OG0000028	10	10
OG0000029	11	11
OG0000030	10	10
OG0000031	11	11
OG0000032	11	11
OG0000033	8	8
OG0000034	7	7
OG0000035	7	7
OG0000036	9	9
OG0000037	8	8
OG0000038	10	10
OG0000039	10	10
OG0000040	6	6
OG0000041	7	7
OG0000042	4	4
OG0000043	9	9
OG0000044	8	8
OG0000045	6	6
OG0000046	6	5
OG0000047	8	8
OG0000048	6	5
OG0000049	7	7
OG0000050	8	8
OG0000051	7	7
OG0000052	6	6
OG0000053	5	5
OG0000054	7	7
OG0000055	6	6
OG0000056	9	9
OG0000057	8	8
OG0000058	8	8
OG0000059	9	9
OG0000060	9	9
OG0000061	9	9
OG0000062	9	9
OG0000063	8	8
OG0000064	6	6
OG0000065	6	6
OG0000066	7	7
OG0000067	5	5
OG0000068	6	6
OG0000069	6	6
OG0000070	5	4
OG0000071	7	7
OG0000072	6	6
OG0000073	6	6
OG0000074	6	6
OG0000075	8	8
OG0000076	8	8
OG0000077	8	8
OG0000078	8	8
OG0000079	8	8
OG0000080	8	8
OG0000081	5	5
OG0000082	4	4
OG0000083	4	4
OG0000084	7	7
OG0000085	5	5
OG0000086	5	5
OG0000087	4	4
OG0000088	4	3
OG0000089	4	4
OG0000090	4	4
OG0000091	4	3
OG0000092	6	6
OG0000093	4	4
OG0000094	5	5
OG0000095	5	5
OG0000096	4	4
OG0000097	5	5
OG0000098	5	5
OG0000099	4	4
OG0000100	5	5
OG0000101	5	5
OG0000102	5	5
OG0000103	5	5
OG0000104	5	5
OG0000105	6	6
OG0000106	7	7
OG0000107	7	7
OG0000108	7	7
OG0000109	7	7
OG0000110	7	7
OG0000111	4	4
OG0000112	3	3
OG0000113	5	5
OG0000114	4	4
OG0000115	5	5
OG0000116	4	4
OG0000117	5	5
OG0000118	6	6
OG0000119	2	2
OG0000120	3	3
OG0000121	4	4
OG0000122	3	3
OG0000123	3	3
OG0000124	4	4
OG0000125	4	4
OG0000126	4	4
OG0000127	4	4
OG0000128	4	4
OG0000129	4	4
OG0000130	4	4
OG0000131	4	4
OG0000132	4	4
OG0000133	3	3
OG0000134	4	4
OG0000135	4	4
OG0000136	5	5
OG0000137	4	4
OG0000138	4	4
OG0000139	4	4
