Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	Rhodococcus_erythropolis_aa	n0	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72144.1	Rhodococcus_erythropolis_aa_ALU68423.1, Rhodococcus_erythropolis_aa_ALU73499.1, Rhodococcus_erythropolis_aa_ALU69437.1, Rhodococcus_erythropolis_aa_ALU72899.1, Rhodococcus_erythropolis_aa_ALU70741.1, Rhodococcus_erythropolis_aa_ALU72958.1, Rhodococcus_erythropolis_aa_ALU73109.1, Rhodococcus_erythropolis_aa_ALU72903.1, Rhodococcus_erythropolis_aa_ALU70737.1, Rhodococcus_erythropolis_aa_ALU72148.1, Rhodococcus_erythropolis_aa_ALU72954.1, Rhodococcus_erythropolis_aa_ALU73105.1, Rhodococcus_erythropolis_aa_ALU72147.1, Rhodococcus_erythropolis_aa_ALU70738.1, Rhodococcus_erythropolis_aa_ALU72902.1, Rhodococcus_erythropolis_aa_ALU72955.1, Rhodococcus_erythropolis_aa_ALU73106.1, Rhodococcus_erythropolis_aa_ALU73107.1, Rhodococcus_erythropolis_aa_ALU72956.1, Rhodococcus_erythropolis_aa_ALU72146.1, Rhodococcus_erythropolis_aa_ALU70739.1, Rhodococcus_erythropolis_aa_ALU72901.1, Rhodococcus_erythropolis_aa_ALU73108.1, Rhodococcus_erythropolis_aa_ALU72957.1, Rhodococcus_erythropolis_aa_ALU72145.1, Rhodococcus_erythropolis_aa_ALU70740.1, Rhodococcus_erythropolis_aa_ALU72900.1, Rhodococcus_erythropolis_aa_ALU70736.1, Rhodococcus_erythropolis_aa_ALU72904.1, Rhodococcus_erythropolis_aa_ALU72149.1, Rhodococcus_erythropolis_aa_ALU73104.1, Rhodococcus_erythropolis_aa_ALU72953.1
OG0000000	Rhodococcus_erythropolis_aa	n1	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU68423.1, Rhodococcus_erythropolis_aa_ALU73499.1, Rhodococcus_erythropolis_aa_ALU69437.1	Rhodococcus_erythropolis_aa_ALU72899.1, Rhodococcus_erythropolis_aa_ALU70741.1, Rhodococcus_erythropolis_aa_ALU72958.1, Rhodococcus_erythropolis_aa_ALU73109.1, Rhodococcus_erythropolis_aa_ALU72903.1, Rhodococcus_erythropolis_aa_ALU70737.1, Rhodococcus_erythropolis_aa_ALU72148.1, Rhodococcus_erythropolis_aa_ALU72954.1, Rhodococcus_erythropolis_aa_ALU73105.1, Rhodococcus_erythropolis_aa_ALU72147.1, Rhodococcus_erythropolis_aa_ALU70738.1, Rhodococcus_erythropolis_aa_ALU72902.1, Rhodococcus_erythropolis_aa_ALU72955.1, Rhodococcus_erythropolis_aa_ALU73106.1, Rhodococcus_erythropolis_aa_ALU73107.1, Rhodococcus_erythropolis_aa_ALU72956.1, Rhodococcus_erythropolis_aa_ALU72146.1, Rhodococcus_erythropolis_aa_ALU70739.1, Rhodococcus_erythropolis_aa_ALU72901.1, Rhodococcus_erythropolis_aa_ALU73108.1, Rhodococcus_erythropolis_aa_ALU72957.1, Rhodococcus_erythropolis_aa_ALU72145.1, Rhodococcus_erythropolis_aa_ALU70740.1, Rhodococcus_erythropolis_aa_ALU72900.1, Rhodococcus_erythropolis_aa_ALU70736.1, Rhodococcus_erythropolis_aa_ALU72904.1, Rhodococcus_erythropolis_aa_ALU72149.1, Rhodococcus_erythropolis_aa_ALU73104.1, Rhodococcus_erythropolis_aa_ALU72953.1
OG0000000	Rhodococcus_erythropolis_aa	n2	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU68423.1, Rhodococcus_erythropolis_aa_ALU73499.1	Rhodococcus_erythropolis_aa_ALU69437.1
OG0000000	Rhodococcus_erythropolis_aa	n3	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU68423.1	Rhodococcus_erythropolis_aa_ALU73499.1
OG0000000	Rhodococcus_erythropolis_aa	n4	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72899.1, Rhodococcus_erythropolis_aa_ALU70741.1	Rhodococcus_erythropolis_aa_ALU72958.1, Rhodococcus_erythropolis_aa_ALU73109.1, Rhodococcus_erythropolis_aa_ALU72903.1, Rhodococcus_erythropolis_aa_ALU70737.1, Rhodococcus_erythropolis_aa_ALU72148.1, Rhodococcus_erythropolis_aa_ALU72954.1, Rhodococcus_erythropolis_aa_ALU73105.1, Rhodococcus_erythropolis_aa_ALU72147.1, Rhodococcus_erythropolis_aa_ALU70738.1, Rhodococcus_erythropolis_aa_ALU72902.1, Rhodococcus_erythropolis_aa_ALU72955.1, Rhodococcus_erythropolis_aa_ALU73106.1, Rhodococcus_erythropolis_aa_ALU73107.1, Rhodococcus_erythropolis_aa_ALU72956.1, Rhodococcus_erythropolis_aa_ALU72146.1, Rhodococcus_erythropolis_aa_ALU70739.1, Rhodococcus_erythropolis_aa_ALU72901.1, Rhodococcus_erythropolis_aa_ALU73108.1, Rhodococcus_erythropolis_aa_ALU72957.1, Rhodococcus_erythropolis_aa_ALU72145.1, Rhodococcus_erythropolis_aa_ALU70740.1, Rhodococcus_erythropolis_aa_ALU72900.1, Rhodococcus_erythropolis_aa_ALU70736.1, Rhodococcus_erythropolis_aa_ALU72904.1, Rhodococcus_erythropolis_aa_ALU72149.1, Rhodococcus_erythropolis_aa_ALU73104.1, Rhodococcus_erythropolis_aa_ALU72953.1
OG0000000	Rhodococcus_erythropolis_aa	n5	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72899.1	Rhodococcus_erythropolis_aa_ALU70741.1
OG0000000	Rhodococcus_erythropolis_aa	n6	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72958.1, Rhodococcus_erythropolis_aa_ALU73109.1	Rhodococcus_erythropolis_aa_ALU72903.1, Rhodococcus_erythropolis_aa_ALU70737.1, Rhodococcus_erythropolis_aa_ALU72148.1, Rhodococcus_erythropolis_aa_ALU72954.1, Rhodococcus_erythropolis_aa_ALU73105.1, Rhodococcus_erythropolis_aa_ALU72147.1, Rhodococcus_erythropolis_aa_ALU70738.1, Rhodococcus_erythropolis_aa_ALU72902.1, Rhodococcus_erythropolis_aa_ALU72955.1, Rhodococcus_erythropolis_aa_ALU73106.1, Rhodococcus_erythropolis_aa_ALU73107.1, Rhodococcus_erythropolis_aa_ALU72956.1, Rhodococcus_erythropolis_aa_ALU72146.1, Rhodococcus_erythropolis_aa_ALU70739.1, Rhodococcus_erythropolis_aa_ALU72901.1, Rhodococcus_erythropolis_aa_ALU73108.1, Rhodococcus_erythropolis_aa_ALU72957.1, Rhodococcus_erythropolis_aa_ALU72145.1, Rhodococcus_erythropolis_aa_ALU70740.1, Rhodococcus_erythropolis_aa_ALU72900.1, Rhodococcus_erythropolis_aa_ALU70736.1, Rhodococcus_erythropolis_aa_ALU72904.1, Rhodococcus_erythropolis_aa_ALU72149.1, Rhodococcus_erythropolis_aa_ALU73104.1, Rhodococcus_erythropolis_aa_ALU72953.1
OG0000000	Rhodococcus_erythropolis_aa	n7	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72958.1	Rhodococcus_erythropolis_aa_ALU73109.1
OG0000000	Rhodococcus_erythropolis_aa	n8	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72903.1, Rhodococcus_erythropolis_aa_ALU70737.1, Rhodococcus_erythropolis_aa_ALU72148.1, Rhodococcus_erythropolis_aa_ALU72954.1, Rhodococcus_erythropolis_aa_ALU73105.1, Rhodococcus_erythropolis_aa_ALU72147.1, Rhodococcus_erythropolis_aa_ALU70738.1, Rhodococcus_erythropolis_aa_ALU72902.1, Rhodococcus_erythropolis_aa_ALU72955.1, Rhodococcus_erythropolis_aa_ALU73106.1, Rhodococcus_erythropolis_aa_ALU73107.1, Rhodococcus_erythropolis_aa_ALU72956.1, Rhodococcus_erythropolis_aa_ALU72146.1, Rhodococcus_erythropolis_aa_ALU70739.1, Rhodococcus_erythropolis_aa_ALU72901.1	Rhodococcus_erythropolis_aa_ALU73108.1, Rhodococcus_erythropolis_aa_ALU72957.1, Rhodococcus_erythropolis_aa_ALU72145.1, Rhodococcus_erythropolis_aa_ALU70740.1, Rhodococcus_erythropolis_aa_ALU72900.1, Rhodococcus_erythropolis_aa_ALU70736.1, Rhodococcus_erythropolis_aa_ALU72904.1, Rhodococcus_erythropolis_aa_ALU72149.1, Rhodococcus_erythropolis_aa_ALU73104.1, Rhodococcus_erythropolis_aa_ALU72953.1
OG0000000	Rhodococcus_erythropolis_aa	n9	1.0	Terminal	Rhodococcus_erythropolis_aa_ALU72903.1, Rhodococcus_erythropolis_aa_ALU70737.1, Rhodococcus_erythropolis_aa_ALU72148.1, Rhodococcus_erythropolis_aa_ALU72954.1, Rhodococcus_erythropolis_aa_ALU73105.1, Rhodococcus_erythropolis_aa_ALU72147.1, Rhodococcus_erythropolis_aa_ALU70738.1, Rhodococcus_erythropolis_aa_ALU72902.1, Rhodococcus_erythropolis_aa_ALU72955.1, Rhodococcus_erythropolis_aa_ALU73106.1	Rhodococcus_erythropolis_aa_ALU73107.1, Rhodococcus_erythropolis_aa_ALU72956.1, Rhodococcus_erythropolis_aa_ALU72146.1, Rhodococcus_erythropolis_aa_ALU70739.1, Rhodococcus_erythropolis_aa_ALU72901.1
