Orthogroup	Species	Bacillus_subtilis_aa	Orthologs
OG0000003	Deinococcus_radiodurans_aa	CAX52610.1, CAB13251.1	UDL00643.1
OG0000003	Rhodococcus_erythropolis_aa	CAX52610.1, CAB13251.1	ALU71496.1
OG0000003	Rhodococcus_erythropolis_aa	CAB14758.1, CAB13014.1, CAB14053.2	ALU71022.1, ALU69919.1, ALU73632.1, ALU73298.1
OG0000003	Deinococcus_radiodurans_aa	CAB15224.2	UDK99778.1, UDL01313.1, UDL00011.1
OG0000003	Rhodococcus_erythropolis_aa	CAB15224.2	ALU69713.1, ALU68048.1, ALU69753.1, ALU72626.1
OG0000005	Deinococcus_radiodurans_aa	CAB14583.1	UDL01758.1
OG0000005	Rhodococcus_erythropolis_aa	CAB14583.1	ALU69649.1
OG0000005	Rhodococcus_erythropolis_aa	CAB14870.1, CAB14243.1, CAB16077.1	ALU72250.1
OG0000005	Deinococcus_radiodurans_aa	CAB12184.1, CAB13183.1	UDL01691.1, UDK99912.1
OG0000005	Rhodococcus_erythropolis_aa	CAB12184.1, CAB13183.1	ALU71944.1, ALU72876.1, ALU72847.1
OG0000006	Deinococcus_radiodurans_aa	CAB12923.1, CAB15608.1, CAB14129.1, CAB14952.1, CAB13094.1, CAB16124.1, CAB13260.1, CAB12896.1	UDL01507.1
OG0000006	Rhodococcus_erythropolis_aa	CAB12923.1, CAB15608.1, CAB14129.1, CAB14952.1, CAB13094.1, CAB16124.1, CAB13260.1, CAB12896.1	ALU73583.1, ALU68954.1, ALU69347.1, ALU73437.1, ALU71855.1, ALU73425.1, ALU71126.1, ALU73077.1
OG0000007	Deinococcus_radiodurans_aa	CAB12873.2, CAB12581.1, CAB15338.1, CAB15997.2, CAB12191.1, CAB11939.1, CAB12673.1	UDL02249.1
OG0000007	Rhodococcus_erythropolis_aa	CAB12873.2, CAB12581.1, CAB15338.1, CAB15997.2, CAB12191.1, CAB11939.1, CAB12673.1	ALU71610.1, ALU72825.1, ALU72850.1, ALU67788.1, ALU71611.1, ALU72838.1, ALU68508.1, ALU71341.1
OG0000008	Deinococcus_radiodurans_aa	CAB12828.3	UDL01516.1
OG0000008	Rhodococcus_erythropolis_aa	CAB12828.3	ALU71603.1, ALU72124.1, ALU72893.1, ALU71012.1, ALU71440.1, ALU73318.1, ALU68749.1, ALU69911.1, ALU69012.1, ALU69031.1, ALU69301.1, ALU68689.1, ALU71546.1, ALU73132.1
OG0000013	Deinococcus_radiodurans_aa	CAB13403.1	UDL00563.1
OG0000013	Rhodococcus_erythropolis_aa	CAB15866.1, CAB12870.2, CAB13176.1, CAB12917.1, CAB15509.1	ALU71991.1
OG0000013	Deinococcus_radiodurans_aa	CAB12917.1	UDL02088.1
OG0000013	Deinococcus_radiodurans_aa	CAB15509.1	UDL00990.1
OG0000013	Deinococcus_radiodurans_aa	CAB15835.1	UDK99975.1, UDL01344.1
OG0000014	Rhodococcus_erythropolis_aa	CAB12879.1	ALU72504.1, ALU73691.1, ALU69266.1, ALU69860.1, ALU70719.1, ALU73043.1, ALU69496.1, ALU73429.1, ALU70745.1, ALU69123.1, ALU72627.1, ALU71143.1, ALU73044.1
OG0000015	Deinococcus_radiodurans_aa	CAB11929.1	UDL00500.1
OG0000015	Rhodococcus_erythropolis_aa	CAB14350.2, CAB15579.1, CAB13625.2, CAB14717.1	ALU67854.1
OG0000015	Deinococcus_radiodurans_aa	CAB14350.2, CAB15579.1, CAB13625.2, CAB14717.1	UDL01775.1, UDL00718.1
OG0000015	Rhodococcus_erythropolis_aa	CAB15692.1, CAB15580.1	ALU68019.1
OG0000015	Deinococcus_radiodurans_aa	CAB15692.1, CAB15580.1	UDK99753.1
OG0000016	Rhodococcus_erythropolis_aa	CAB15369.1	ALU72283.1, ALU72809.1, ALU72255.1, ALU73629.1, ALU69351.1, ALU68677.1
OG0000016	Deinococcus_radiodurans_aa	CAB15369.1	UDK99957.1, UDL01734.1
OG0000016	Rhodococcus_erythropolis_aa	CAB12447.1, CAB12930.1	ALU73496.1, ALU70497.1
OG0000017	Deinococcus_radiodurans_aa	CAB12666.1	UDL00494.1, UDL02250.1, UDL00497.1, UDL01415.1, UDK99285.1
OG0000017	Rhodococcus_erythropolis_aa	CAB12666.1	ALU72756.1, ALU70818.1, ALU67851.1, ALU72212.1, ALU70624.1, ALU71412.1, ALU72047.1
OG0000018	Deinococcus_radiodurans_aa	CAB12713.1	UDL01227.1
OG0000018	Rhodococcus_erythropolis_aa	CAB12713.1	ALU68359.1, ALU69332.1, ALU69539.1, ALU68347.1, ALU73672.1, ALU68346.1, ALU73671.1, ALU73008.1, ALU73007.1, ALU71673.1, ALU70156.1
OG0000019	Deinococcus_radiodurans_aa	CAB14310.1	UDL00991.1
