Orthogroup	Rhodococcus_erythropolis_aa	Bacillus_subtilis_aa
OG0000003	ALU71496.1	CAX52610.1, CAB13251.1
OG0000003	ALU71022.1, ALU69919.1, ALU73632.1, ALU73298.1	CAB14758.1, CAB13014.1, CAB14053.2
OG0000003	ALU69713.1, ALU68048.1, ALU69753.1, ALU72626.1	CAB15224.2
OG0000005	ALU69649.1	CAB14583.1
OG0000005	ALU72250.1	CAB14870.1, CAB14243.1, CAB16077.1
OG0000005	ALU71944.1, ALU72876.1, ALU72847.1	CAB12184.1, CAB13183.1
OG0000006	ALU73583.1, ALU68954.1, ALU69347.1, ALU73437.1, ALU71855.1, ALU73425.1, ALU71126.1, ALU73077.1	CAB12923.1, CAB15608.1, CAB14129.1, CAB14952.1, CAB13094.1, CAB16124.1, CAB13260.1, CAB12896.1
OG0000007	ALU71610.1, ALU72825.1, ALU72850.1, ALU67788.1, ALU71611.1, ALU72838.1, ALU68508.1, ALU71341.1	CAB12873.2, CAB12581.1, CAB15338.1, CAB15997.2, CAB12191.1, CAB11939.1, CAB12673.1
OG0000008	ALU71603.1, ALU72124.1, ALU72893.1, ALU71012.1, ALU71440.1, ALU73318.1, ALU68749.1, ALU69911.1, ALU69012.1, ALU69031.1, ALU69301.1, ALU68689.1, ALU71546.1, ALU73132.1	CAB12828.3
OG0000013	ALU71991.1	CAB15866.1, CAB12870.2, CAB13176.1, CAB12917.1, CAB15509.1
OG0000014	ALU72504.1, ALU73691.1, ALU69266.1, ALU69860.1, ALU70719.1, ALU73043.1, ALU69496.1, ALU73429.1, ALU70745.1, ALU69123.1, ALU72627.1, ALU71143.1, ALU73044.1	CAB12879.1
OG0000015	ALU67854.1	CAB14350.2, CAB15579.1, CAB13625.2, CAB14717.1
OG0000015	ALU68019.1	CAB15692.1, CAB15580.1
OG0000016	ALU72283.1, ALU72809.1, ALU72255.1, ALU73629.1, ALU69351.1, ALU68677.1	CAB15369.1
OG0000016	ALU73496.1, ALU70497.1	CAB12447.1, CAB12930.1
OG0000017	ALU72756.1, ALU70818.1, ALU67851.1, ALU72212.1, ALU70624.1, ALU71412.1, ALU72047.1	CAB12666.1
OG0000018	ALU68359.1, ALU69332.1, ALU69539.1, ALU68347.1, ALU73672.1, ALU68346.1, ALU73671.1, ALU73008.1, ALU73007.1, ALU71673.1, ALU70156.1	CAB12713.1
OG0000019	ALU72265.1, ALU68644.1, ALU69339.1, ALU73607.1, ALU69113.1, ALU70657.1, ALU70293.1, ALU72478.1, ALU71916.1, ALU68611.1, ALU68974.1	CAB14310.1
OG0000024	ALU71290.1	CAB14687.1, CAB14686.1
OG0000024	ALU69819.1	CAB14896.1, CAB12131.1, CAB12154.1, CAB14328.1
OG0000025	ALU72794.1, ALU71948.1, ALU67815.1, ALU71949.1	CAB12348.1
OG0000025	ALU68123.1, ALU68827.1	CAB15567.1
OG0000026	ALU71849.1	CAB14737.1
OG0000026	ALU71856.1, ALU71859.1, ALU72920.1, ALU67971.1, ALU72919.1, ALU69497.1, ALU72918.1, ALU71851.1	CAB12924.1
OG0000027	ALU70733.1, ALU72937.1, ALU72364.1, ALU73014.1, ALU72730.1, ALU70726.1, ALU73398.1	CAB14997.1, CAB13607.2, CAB14615.1, CAB13078.1
OG0000033	ALU73163.1, ALU73435.1	CAB13543.1, CAB11933.1, CAB12805.1, CAB12627.1, CAB13067.1
OG0000034	ALU69306.1	CAB15373.2, CAB13845.1
OG0000034	ALU68547.1	CAB12141.2, CAB16091.1, CAB12336.1, CAB13249.1, CAB14863.1, CAB12334.1
OG0000035	ALU71608.1, ALU68021.1, ALU72982.1	CAB12954.1, CAB12822.2, CAB13328.1, CAB12212.2, CAB15646.1, CAB15602.1
OG0000036	ALU71411.1, ALU68834.1, ALU72668.1, ALU69672.1, ALU69936.1, ALU69166.1, ALU69447.1, ALU70409.1, ALU72524.1, ALU70617.1	CAB15784.1
OG0000037	ALU71078.1, ALU68370.1	CAX52706.1, CAX52589.1
OG0000040	ALU68230.1, ALU73602.1, ALU70016.1	CAB11949.1
