Orthogroup	Species	Rhodococcus_erythropolis_aa	Orthologs
OG0000003	Deinococcus_radiodurans_aa	ALU71496.1	UDL00643.1
OG0000003	Bacillus_subtilis_aa	ALU71496.1	CAX52610.1, CAB13251.1
OG0000003	Bacillus_subtilis_aa	ALU71022.1, ALU69919.1, ALU73632.1, ALU73298.1	CAB14758.1, CAB13014.1, CAB14053.2
OG0000003	Bacillus_subtilis_aa	ALU69713.1, ALU68048.1, ALU69753.1, ALU72626.1	CAB15224.2
OG0000003	Deinococcus_radiodurans_aa	ALU69713.1, ALU68048.1, ALU69753.1	UDL01313.1
OG0000003	Deinococcus_radiodurans_aa	ALU72626.1	UDL00011.1
OG0000005	Deinococcus_radiodurans_aa	ALU69678.1, ALU72813.1	UDL00019.1
OG0000005	Deinococcus_radiodurans_aa	ALU69649.1	UDL01758.1
OG0000005	Bacillus_subtilis_aa	ALU69649.1	CAB14583.1
OG0000005	Bacillus_subtilis_aa	ALU72250.1	CAB14870.1, CAB14243.1, CAB16077.1
OG0000005	Bacillus_subtilis_aa	ALU71944.1, ALU72876.1, ALU72847.1	CAB12184.1, CAB13183.1
OG0000005	Deinococcus_radiodurans_aa	ALU71944.1	UDL01691.1
OG0000005	Deinococcus_radiodurans_aa	ALU72876.1, ALU72847.1	UDK99912.1
OG0000006	Bacillus_subtilis_aa	ALU73583.1, ALU68954.1, ALU69347.1, ALU73437.1, ALU71855.1, ALU73425.1, ALU71126.1, ALU73077.1	CAB12923.1, CAB15608.1, CAB14129.1, CAB14952.1, CAB13094.1, CAB16124.1, CAB13260.1, CAB12896.1
OG0000006	Deinococcus_radiodurans_aa	ALU73583.1, ALU68954.1, ALU69347.1, ALU73437.1, ALU71855.1, ALU73425.1, ALU71126.1, ALU73077.1	UDL01507.1
OG0000007	Bacillus_subtilis_aa	ALU71610.1, ALU72825.1, ALU72850.1, ALU67788.1, ALU71611.1, ALU72838.1, ALU68508.1, ALU71341.1	CAB12873.2, CAB12581.1, CAB15338.1, CAB15997.2, CAB12191.1, CAB11939.1, CAB12673.1
OG0000007	Deinococcus_radiodurans_aa	ALU71610.1, ALU72825.1, ALU72850.1, ALU67788.1, ALU71611.1, ALU72838.1, ALU68508.1, ALU71341.1	UDL02249.1
OG0000008	Bacillus_subtilis_aa	ALU71603.1, ALU72124.1, ALU72893.1, ALU71012.1, ALU71440.1, ALU73318.1, ALU68749.1, ALU69911.1, ALU69012.1, ALU69031.1, ALU69301.1, ALU68689.1, ALU71546.1, ALU73132.1	CAB12828.3
OG0000008	Deinococcus_radiodurans_aa	ALU71603.1, ALU72124.1, ALU72893.1, ALU71012.1, ALU71440.1, ALU73318.1, ALU68749.1, ALU69911.1, ALU69012.1, ALU69031.1, ALU69301.1, ALU68689.1, ALU71546.1, ALU73132.1	UDL01516.1
OG0000013	Bacillus_subtilis_aa	ALU71991.1	CAB15866.1, CAB12870.2, CAB13176.1, CAB12917.1, CAB15509.1
OG0000013	Deinococcus_radiodurans_aa	ALU71991.1	UDL02088.1, UDL00990.1
OG0000014	Bacillus_subtilis_aa	ALU72504.1, ALU73691.1, ALU69266.1, ALU69860.1, ALU70719.1, ALU73043.1, ALU69496.1, ALU73429.1, ALU70745.1, ALU69123.1, ALU72627.1, ALU71143.1, ALU73044.1	CAB12879.1
OG0000015	Bacillus_subtilis_aa	ALU67854.1	CAB14350.2, CAB15579.1, CAB13625.2, CAB14717.1
OG0000015	Deinococcus_radiodurans_aa	ALU67854.1	UDL01775.1, UDL00718.1
OG0000015	Deinococcus_radiodurans_aa	ALU68019.1	UDK99753.1
OG0000015	Bacillus_subtilis_aa	ALU68019.1	CAB15692.1, CAB15580.1
OG0000016	Bacillus_subtilis_aa	ALU72283.1, ALU72809.1, ALU72255.1, ALU73629.1, ALU69351.1, ALU68677.1	CAB15369.1
OG0000016	Deinococcus_radiodurans_aa	ALU73629.1	UDK99957.1
OG0000016	Deinococcus_radiodurans_aa	ALU69351.1	UDL01734.1
OG0000016	Bacillus_subtilis_aa	ALU73496.1, ALU70497.1	CAB12447.1, CAB12930.1
OG0000017	Bacillus_subtilis_aa	ALU72756.1, ALU70818.1, ALU67851.1, ALU72212.1, ALU70624.1, ALU71412.1, ALU72047.1	CAB12666.1
OG0000017	Deinococcus_radiodurans_aa	ALU72756.1, ALU70818.1, ALU67851.1, ALU72212.1, ALU70624.1, ALU71412.1, ALU72047.1	UDL00494.1, UDL02250.1, UDL00497.1, UDL01415.1, UDK99285.1
OG0000018	Bacillus_subtilis_aa	ALU68359.1, ALU69332.1, ALU69539.1, ALU68347.1, ALU73672.1, ALU68346.1, ALU73671.1, ALU73008.1, ALU73007.1, ALU71673.1, ALU70156.1	CAB12713.1
OG0000018	Deinococcus_radiodurans_aa	ALU68359.1, ALU69332.1, ALU69539.1, ALU68347.1, ALU73672.1, ALU68346.1, ALU73671.1, ALU73008.1, ALU73007.1, ALU71673.1, ALU70156.1	UDL01227.1
OG0000019	Bacillus_subtilis_aa	ALU72265.1, ALU68644.1, ALU69339.1, ALU73607.1, ALU69113.1, ALU70657.1, ALU70293.1, ALU72478.1, ALU71916.1, ALU68611.1, ALU68974.1	CAB14310.1
OG0000019	Deinococcus_radiodurans_aa	ALU72265.1, ALU68644.1, ALU69339.1, ALU73607.1, ALU69113.1, ALU70657.1, ALU70293.1, ALU72478.1, ALU71916.1, ALU68611.1, ALU68974.1	UDL00991.1
OG0000024	Deinococcus_radiodurans_aa	ALU71290.1	UDL01299.1
OG0000024	Bacillus_subtilis_aa	ALU71290.1	CAB14687.1, CAB14686.1
OG0000024	Deinococcus_radiodurans_aa	ALU69819.1	UDK99745.1, UDL01185.1, UDL00169.1
OG0000024	Bacillus_subtilis_aa	ALU69819.1	CAB14896.1, CAB12131.1, CAB12154.1, CAB14328.1
OG0000025	Deinococcus_radiodurans_aa	ALU72794.1, ALU71948.1, ALU67815.1, ALU71949.1, ALU68123.1, ALU68827.1	UDK99758.1
OG0000025	Bacillus_subtilis_aa	ALU72794.1, ALU71948.1, ALU67815.1, ALU71949.1	CAB12348.1
OG0000025	Bacillus_subtilis_aa	ALU68123.1, ALU68827.1	CAB15567.1
OG0000026	Bacillus_subtilis_aa	ALU71849.1	CAB14737.1
OG0000026	Bacillus_subtilis_aa	ALU71856.1, ALU71859.1, ALU72920.1, ALU67971.1, ALU72919.1, ALU69497.1, ALU72918.1, ALU71851.1	CAB12924.1
OG0000026	Deinococcus_radiodurans_aa	ALU71856.1, ALU71859.1, ALU72920.1, ALU67971.1, ALU72919.1, ALU69497.1, ALU72918.1, ALU71851.1	UDK99963.1
