Orthogroup	Bacillus_subtilis_aa	Deinococcus_radiodurans_aa	Rhodococcus_erythropolis_aa
OG0002529	CAB11781.2		
OG0002530	CAB11784.1		
OG0002531	CAB11798.1		
OG0002532	CAB11799.2		
OG0002533	CAB11800.1		
OG0002534	CAB11801.1		
OG0002535	CAB11806.1		
OG0002536	CAB11809.1		
OG0002537	CAB11810.1		
OG0002538	CAB11811.1		
OG0002539	CAB11817.1		
OG0002540	CAB11819.1		
OG0002541	CAB11820.1		
OG0002542	CAB11821.1		
OG0002543	CAB11823.1		
OG0002544	CAB11825.1		
OG0002545	CAB11828.1		
OG0002546	CAB11830.1		
OG0002547	CAB11836.1		
OG0002548	CAB11837.1		
OG0002549	CAB11838.1		
OG0002550	CAB11840.1		
OG0002551	CAB11841.1		
OG0002552	CAB11842.2		
OG0002553	CAB11859.1		
OG0002554	CAB11860.1		
OG0002555	CAB11861.1		
OG0002556	CAB11871.1		
OG0002557	CAB11873.1		
OG0002558	CAB11875.1		
OG0002559	CAB11876.1		
OG0002560	CAB11885.1		
OG0002561	CAB11890.2		
OG0002562	CAB11922.1		
OG0002563	CAB11927.2		
OG0002564	CAB11928.1		
OG0002565	CAB11931.1		
OG0002566	CAB11932.1		
OG0002567	CAB11935.2		
OG0002568	CAB11941.1		
OG0002569	CAB11947.2		
OG0002570	CAB11948.2		
OG0002571	CAB11950.1		
OG0002572	CAB11952.2		
OG0002573	CAB11959.1		
OG0002574	CAB11960.2		
OG0002575	CAB11963.1		
OG0002576	CAB11964.1		
OG0002577	CAB11984.1		
OG0002578	CAB11989.1		
OG0002579	CAB11990.2		
OG0002580	CAB11991.2		
OG0002581	CAB11992.2		
OG0002582	CAB11994.1		
OG0002583	CAB11997.1		
OG0002584	CAB11998.1		
OG0002585	CAB11999.1		
OG0002586	CAB12000.1		
OG0002587	CAB12001.1		
OG0002588	CAB12002.1		
OG0002589	CAB12003.1		
OG0002590	CAB12005.1		
OG0002591	CAB12008.1		
OG0002592	CAB12009.1		
OG0002593	CAB12013.1		
OG0002594	CAB12018.1		
OG0002595	CAB12019.1		
OG0002596	CAB12023.1		
OG0002597	CAB12024.1		
OG0002598	CAB12025.1		
OG0002599	CAB12028.1		
OG0002600	CAB12032.1		
OG0002601	CAB12038.2		
OG0002602	CAB12039.1		
OG0002603	CAB12042.2		
OG0002604	CAB12043.2		
OG0002605	CAB12046.1		
